id,log_date,timestamp,location,dominan,aqi,pm25,pm10,co,no2,so2,o3
147,2025-04-22 16:52:51.16871+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
148,2025-04-22 16:53:51.827468+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
149,2025-04-22 16:54:52.500822+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
150,2025-04-22 16:55:53.183752+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
151,2025-04-22 16:56:53.887828+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
152,2025-04-22 16:57:54.574438+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
153,2025-04-22 16:58:55.296336+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
154,2025-04-22 16:59:56.000743+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
155,2025-04-22 17:00:56.714635+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
156,2025-04-22 17:01:57.424392+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
157,2025-04-22 17:02:58.140338+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
158,2025-04-22 17:03:58.911331+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
159,2025-04-22 17:04:59.60831+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
160,2025-04-22 17:06:00.31345+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
161,2025-04-22 17:07:01.051608+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
162,2025-04-22 17:08:01.731212+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
163,2025-04-22 17:09:02.457694+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
164,2025-04-22 17:10:03.152156+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
165,2025-04-22 17:11:03.853571+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
166,2025-04-22 17:12:04.560588+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
167,2025-04-22 17:13:05.246802+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
168,2025-04-22 17:14:06.296862+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
169,2025-04-22 17:15:07.285209+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
170,2025-04-22 17:16:07.983767+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
171,2025-04-22 17:17:08.952099+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
172,2025-04-22 17:18:09.652039+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
173,2025-04-22 17:19:10.389995+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
174,2025-04-22 17:20:11.098733+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
175,2025-04-22 17:21:11.764548+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
176,2025-04-22 17:22:12.462971+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
177,2025-04-22 17:23:13.16802+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
178,2025-04-22 17:24:13.87701+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
179,2025-04-22 17:25:14.584877+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
180,2025-04-22 17:26:15.296892+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
181,2025-04-22 17:27:15.979617+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
182,2025-04-22 17:28:16.671048+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
183,2025-04-22 17:29:17.751649+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
184,2025-04-22 17:30:18.453017+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
185,2025-04-22 17:31:19.188025+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
